id,severity,category,file,line,summary,evidence,verdict,verified_severity,verify_note,source,duplicate_of,direction,remediation
1,critical,security,cmd/rimsky-host-agent-proxy/agent_server.go,46,"The proxy performs no validation of Register.api_key, so any client that can reach the proxy's gRPC port can register as any routing identity (including the non-secret owner api-key ID or the well-known ""anonymous"" identity), displace the legitimate agent, receive that owner's ExecuteRequests (attributes, params, claim handles, callback URLs), and forge Outcomes.","agent_server.go:41-47 only checks reg.GetApiKey() != """" then calls s.state.registerAgent(apiKeyID, ...) with no lookup against the api-key ledger (main.go:30 creates grpc.NewServer() with no credentials/interceptors; config.go has no inbound-auth setting). state.go:204-215 registerAgent silently displaces the prior connection for the same key. Routing identity for owned instances is the api-key ID UUID (controlapi/instances.go:312 CreatedByAPIKeyID: ident.KeyID), which is surfaced in control-api instance responses (instances.go:80 created_by_api_key_id) and is not a secret; ""anonymous"" is a published constant (hostagent/run.go:32). The adjacent concept doc host-agent.md line 11 says the agent ""Authenticates outbound to a host-agent-proxy with the user's api-key"", but nothing on the proxy authenticates anything.",CONFIRMED,critical,"agent_server.go:41-46 only checks Register.api_key non-empty then uses it verbatim as routing key (state.go:207-210 s.agents[apiKeyID], silently displaces prior). main.go:30 plain grpc.NewServer, config.go has no inbound-auth. Routing key is non-secret owner UUID (instances.go:80,312) or published 'anonymous' (dispatch.go:35). Any gRPC-reachable client can impersonate an agent and intercept/forge dispatches. Reproduces.",concept-run-1,,fix-code,"Verify the presented Register.api_key against the control-plane key store before using it as routing identity, reject unknown/unauthenticated keys, and add a negative scenario test."
82,major,security,cmd/rimsky-host-agent-proxy/agent_server.go,41,"host-agent.md line 11 says the agent ""Authenticates outbound to a host-agent-proxy with the user's api-key"", but the proxy performs no validation of the presented key — it is an unauthenticated self-asserted routing identity over a non-TLS channel, so any reachable party can register (and displace the legitimate agent) for any identity, including the well-known ""anonymous"" identity.","agentServer.Connect only checks `reg.GetApiKey() == """"` then calls `s.state.registerAgent(apiKeyID, ...)` with the raw string (agent_server.go:41-47); there is no ledger/hash lookup and no control-api check, and a later registrant displaces the prior connection (agent_server.go:48-52), hijacking dispatch routing. The agent dials with `insecure.NewCredentials()` (lib/runtime/hostagent/run.go:228), so the key also transits plaintext. The api-key concept doc defines validation as hash-digest lookup by middleware; nothing equivalent exists on the Register path, so the code, not the doc, is the stale side of ""authenticates"".",REFUTED,minor,"agent_server.go:41-52 performs no key validation, but host-agent.md:11 'Authenticates with the user's api-key' describes the agent presenting identity, and unvalidated api-key-as-routing-identity is explicit design in host-agent-proxy.md:25. No genuine contradiction; 'critical security hole' overstates the trusted-network routing model -> refuted.",concept-run-1,,,
377,minor,security,lib/runtime/hostagent/spawn.go,159,"pathAllowed glob-matches the declared, un-canonicalized path before any resolution, so relative or bare-name --allow-paths patterns can be pointed at an arbitrary same-named binary via the remote-supplied Spawn/binding cwd, and symlinks inside an allowed directory bypass the allowlist entirely.","pathAllowed does `filepath.Match(glob, path)` on the raw binding path (spawn.go:159-172) with no filepath.Clean/Abs/EvalSymlinks; the effective cwd comes from the Spawn frame (`sp.GetBinding().GetCwd()` falling back to `sp.GetCwd()`, spawn.go:105-108), so an allowed relative pattern like `bin/tool` executes /anywhere/bin/tool for any cwd the proxy relays. --allow-paths is the agent's only spawn boundary (help text: ""glob patterns for binary path validation"", cmd/rimsky/cli/agent.go:54).",CONFIRMED,minor,"spawn.go:159-172 pathAllowed does filepath.Match on raw path with no Clean/Abs/EvalSymlinks. Absolute allowlists work, '..' blocked by Match, so exposure requires operator misconfig or symlinks-in-allowed-dir. Hardening gap -> minor.",concept-run-1,,,
1299,major,frame-end-toctou-race,lib/graph/frame/engine.go,88,"transitionFrameEnd stamps ended_at without re-checking the no-in-flight-runs settlement predicate inside the stamping tx, so a run inserted concurrently lands in a frame that ends at the same moment, breaking the 'frame ends when every node_run is terminal' rule.","The drained-frame list is computed in a separate tx (engine.go:49 ListRunningFramesNoPendingNodes) and MarkFrameEnded's UPDATE guards only 'WHERE frame_id = $1 AND ended_at IS NULL' (postgres/frames.go:72-76). Meanwhile lib/runtime/cascade_recalculate.go:59 (running in the control-api process in a split deployment) does GetRunningFrameID and inserts a stale run into that frame with no frame-row lock; under read-committed both commit, leaving an in-flight run inside an ended frame that end-detection will never revisit, and runReapOrphanFrameDispatches will then strip its claim. Code side is stale relative to the ruling; fix is to embed the NOT EXISTS in-flight predicate in the MarkFrameEnded UPDATE or lock the frame row on both sides.",CONFIRMED,major,Frame-end stamping tx re-checks nothing; RecalculateNode reads the running frame in one tx and enqueues in a later tx — TOCTOU stranding an in-flight run in an ended frame is real.,batch5:C047,,fix-code,Re-check the no-in-flight-runs predicate inside the ended_at stamping transaction so a concurrently-inserted run cannot land in a just-ended frame.
1329,major,validation-bypass-author-set-internal-flag,lib/graph/node/template_validator.go,785,"The executor/delegate mutual-exclusion check is skipped when IsSubgraphEntryAbsorbed is true, and that flag is author-settable YAML (is_subgraph_entry_absorbed), so a flat-nodes template can declare executor+delegate together and register.","Line 785: if hasExecutor && hasDelegate && !n.IsSubgraphEntryAbsorbed. The flag round-trips from author YAML (lib/foundation/spec/template.go:96 yaml:""is_subgraph_entry_absorbed,omitempty""). The compensating check in absorbEntryIntoCaller (template_validator_graphs.go:206) only runs for graphs-form templates — canonicalizeGraphs returns early when len(spec.Graphs)==0 (template_validator_graphs.go:18), so flat-form nodes: templates with the flag set slip both gates.",CONFIRMED,major,is_subgraph_entry_absorbed is author-settable YAML; line 785 skips the executor/delegate exclusion when set; compensating check unreachable for flat-form templates.,batch5:C049,112,,
1494,minor,queue-cap-toctou,lib/runtime/breakpoint_eval.go,94,"The queue-cap check and the hit insert run in separate transactions with no lock, so concurrent evaluators of the same breakpoint can both observe unresumed < cap and push the unresumed-hit count past breakpointQueueCap.","handleOverflow's UnresumedCount runs in its own Transaction (166-171); the hit Create happens later in a second Transaction (113-123); nothing serializes two runners hitting the same breakpoint, so the documented queue-cap is only approximate.",unverified,,,batch6:C057,,,
1504,major,async-callback-tag-validation-bypass,lib/runtime/callback.go,344,"The async-callback path never validates terminal tags against the executor's declared tag set, though the sync path rejects undeclared tags as executor_protocol_violation.",parseAsyncCallback only dedups tags and driveTerminal's RunArgs (401-418) omits DeclaredTagsFor; validateTags (runner_dispatch.go:322) is called only from readExecutorOutcome's sync arms. executor.proto promises rejection of undeclared names at the terminal handler; decision:async-callback-outcome-oneof's rationale is shared validation — it is not shared.,CONFIRMED,major,"async path never sets DeclaredTagsFor and validateTags runs only from the sync arms, so undeclared terminal tags bypass the executor_protocol_violation check the proto and decision promise.",batch6:C058,,fix-code,"Validate terminal tags against the executor's declared tag set on the async path, rejecting undeclared tags as executor_protocol_violation like the sync path."
1631,major,commit-validation-bypass,lib/runtime/runner_terminal.go,144,"PhaseCommit schema validation is gated on t.Changed, but the attributes delta is merged and persisted regardless, so an executor returning changed=false with a non-empty delta commits unvalidated attributes.","if t.Changed && len(t.AttributesDel) > 0 && schema != nil guards attributes.Validate(PhaseCommit), while merged := mergeAttributesDelta(...) (143) and upsertFinalAttributesTx (189) run unconditionally; readExecutorOutcome takes Changed straight from oc.Success.Changed independent of AttributesDelta. concept:attribute invariant 12: both validation gates mandatory.",CONFIRMED,major,"PhaseCommit validation is gated on t.Changed while the attributes delta is merged and persisted regardless, so changed=false with a non-empty delta commits unvalidated attributes — violates invariant 12.",batch6:C065,132,,
1703,minor,silent-noop-canonicalization,lib/graph/node/kind_resolver.go,64,"CanonicalizeSendMessageSugar resolves the string literal send_message (duplicating send_message.KindName across the layer boundary) and silently returns when the alias is unregistered, leaving sends_message nodes with an empty executor to fail at dispatch instead of at deploy.","alias, ok := aliases.Resolve(""send_message""); if !ok { return } — the literal cannot reference lib/runtime's KindName because of graph-purity, but nothing pins the two strings together; the not-registered path degrades silently: the node passes validateExecutorDelegate and reaches the runtime with Executor empty.",unverified,,,batch6:C069,,,
1712,major,plaintext-api-key-no-tls,lib/runtime/hostagent/run.go,228,"The agent dials the proxy with hard-coded insecure gRPC credentials and no TLS option, sending the user's api-key in cleartext from the dev machine to the rimsky deployment.","connectOnce: grpc.NewClient(cfg.RimskyURL, grpc.WithTransportCredentials(insecure.NewCredentials())) with no config knob for TLS anywhere in Config; the Register frame carries ApiKey in plaintext (240-245). concept:host-agent says the agent authenticates outbound with the user's api-key — this hop crosses from a user's dev machine to the deployment, and deployment-level network isolation cannot cover it.",CONFIRMED,major,"connectOnce hard-codes insecure credentials with no TLS option anywhere in Config, so the api-key in the Register frame crosses the dev-machine-to-deployment hop in cleartext with no opt-in path.",batch6:C070,,fix-code,Add a TLS dial option for the agent->proxy gRPC connection so the api-key is not transmitted in cleartext.
