id,severity,category,file,line,summary,evidence,verdict,verified_severity,verify_note,source,duplicate_of,direction,remediation,phase1_classification,phase1_direction,phase1_verdict,phase1_provenance,phase1_note,phase1_applied
2,critical,race,lib/runtime/hostagent/local_http.go,104,"deliverHTTPResponse can send on a channel that clearForward has already closed, panicking the serve goroutine and crashing the whole agent (leaving spawned children unreaped, breaking the doc's stream-close reap invariant).","deliverHTTPResponse loads ch under forwardMu, unlocks, then does `select { case ch <- resp: default: }` (local_http.go:97-108). clearForward (deferred in forwardHTTP, local_http.go:46, and reached on the 30s timeout branch) closes the channel under the lock (local_http.go:88-95). If an HttpResponse frame arrives concurrently with the timeout/return, the send hits a closed channel — send on a closed channel always panics, and the buffered cap-1 channel is ready so the select chooses it. deliverHTTPResponse runs synchronously on the serve goroutine (run.go:305-306), which is called on Run's main goroutine (run.go:168), so the panic kills the daemon without reapAllOrphans running.",CONFIRMED,critical,"Confirmed: deliverHTTPResponse reads ch under forwardMu then releases before `ch <- resp` (local_http.go:98-105); clearForward (deferred on 30s timeout, line 46) can close(ch) in the gap. Send on closed channel panics even inside select+default. Caller runs synchronously in the sole stream-recv loop (run.go:288) with no recover, so it crashes the whole agent process and orphans spawned children. Window narrow (timeout racing a late/duplicate response) but real.",concept-run-1,,fix-code,Serialize deliverHTTPResponse against clearForward (guard/close-once) so a response is never sent on a channel clearForward already closed.,,,,,,
3,critical,bug,lib/services/claim_producers/postgres/store/store.go,264,"Store.Commit is not idempotent in the claim id: a retried Commit after a successful swap fails (the staging schema was consumed by the rename and the now-populated canonical blocks the drop), breaking the claim-producer invariant 'Terminal verbs (commit/abandon/release) must be idempotent in the claim identifier' that auto-terminal names as the sole mitigation for the verb-fires-before-rimsky-tx-commits leak path.","store.go:264-284 calls commitStagingSwap with no prior state check; server.go:174-178 passes the gRPC CommitRequest straight through; ledger.go:124-145 records ClaimStateCommitted only AFTER the swap and nothing ever reads it as a guard. concepts/claim-producer.md line 39 ('Terminal verbs ... must be idempotent in the claim identifier so the verb-then-transaction-fail leak path is recoverable') and concepts/auto-terminal.md invariant 3 ('the verb-then-tx-fail leak path is mitigated by requiring terminal verbs to be idempotent in the claim id') both depend on this. On retry, `ALTER SCHEMA rimsky_stg_<id> RENAME` fails (schema gone) so Commit returns pg/swap_failed and rimsky's resolution wedges in an errored state while the substrate is already committed. Note the interplay with the DROP-without-CASCADE finding: naively adding CASCADE would make a Commit retry DROP the just-published canonical data and then fail the rename — data loss; the correct fix needs an explicit committed-state idempotency guard.",CONFIRMED,major,"store.go:264-284 Commit calls stagedSwapTarget+commitStagingSwap with no state guard; server.go:175 passes through raw. staging.go:106-109 DROP canonical + RENAME staging: on retry staging is gone (renamed away) and canonical now non-empty, so swap fails (pg/swap_failed). Ledger records COMMITTED only after (ledger.go:140), never read as guard. Violates claim-producer.md:39 / auto-terminal.md:33 idempotency invariant. No data loss (single tx rolls back), config-gated to staged_async recovery path -> major not critical.",concept-run-1,1800,,,,,,,,
4,major,design-drift-doc-stale,.ok-planner/design/concepts/advisory-lock.md,19,"Boundaries names `sensor` as the adjacent concept for the scheduler-tick lock, but sensors have no relationship to the tick lock — the lock's consumer is the scheduler tick, and the sensor concept explicitly forbids advisory-lock coordination.","advisory-lock.md line 19: ""Adjacent: `sensor` (scheduler-tick lock)"". The tick lock's only consumer is lib/graph/scheduler/scheduler.go:119 (cfg.AdvisoryLocker.TrySchedulerTick inside tick()). concepts/sensor.md never mentions the tick or advisory locks and states ""Single-replica per `concept:replica` — rimsky does not coordinate multi-replica fan-in""; lib/services/sensors/sensor-cron/replica_posture_test.go:138-175 mechanically fails if any sensor source names an advisory-lock primitive and calls the advisory-lock association ""retired 'deliberate divergence' advisory-lock-era prose"" (line 116-119). The adjacency is residue from that retired design; the concepts that actually neighbor the tick lock today are the scheduler's sweeps (e.g. claim-handle.md line 31 and message.md line 17 both cite the scheduler-tick advisory lock).",CONFIRMED,minor,"advisory-lock.md:19 lists Adjacent: sensor (scheduler-tick lock). The tick lock's only consumer is the scheduler (scheduler.go:119); sensor.md never mentions tick/advisory locks and states single-replica-no-coordination. Stale adjacency residue from a retired sensor-coordination design; adjacency parenthetical, not an invariant -> minor.",concept-run-1,,,,defect,fix-doc,CONFIRMED,corroborated,"The sensor adjacency is residue from the retired sensor-coordination design the dossier explicitly rejects; claim-handle.md and message.md are the concepts that actually cite the scheduler-tick lock, so replaced `sensor` with `message` in the Adjacent list (claim-handle was already present).",true
5,major,design-drift-doc-stale,.ok-planner/design/concepts/anonymous-mode.md,12,"The doc claims that in anonymous mode 'every request — including requests with no Authorization header — is admitted as a synthetic admin identity', but the middleware only substitutes the anonymous identity when the Authorization header is entirely absent; a request presenting a malformed, unknown, revoked, or expired bearer token is rejected 401 even with zero active keys.","lib/control/controlapi/auth_middleware.go::resolveIdentity (lines 106-124): the IsAnonymousMode/AnonymousIdentity substitution lives exclusively in the `h == """"` branch; with a header present, `!strings.HasPrefix(h, ""Bearer "")` -> DenialInvalidToken, ValidatePlaintext failure -> DenialInvalidToken, and GetByHash miss -> DenialInvalidToken, all of which the IdentityResolver turns into HTTP 401 regardless of anonymous mode. A client sending a stale token to a keyless deployment gets 401, not admin admission. The code behavior (reject presented-but-bad credentials) looks deliberate; the doc's 'every request' claim is the stale side and should say 'every request that presents no credentials'.",CONFIRMED,minor,"anonymous-mode.md:12 'every request is admitted as a synthetic admin identity'; auth_middleware.go:108-124 substitutes AnonymousIdentity only in the h=='' branch — a present-but-bad Bearer yields 401 even with zero keys. Prose overstatement in a definitional summary, not an invariant -> minor.",concept-run-1,,,,design-call,design-call,CONFIRMED,corroborated,"Dossier and doc both say 'every request' is admitted while anonymous, with no source anywhere (transcript, corpus, or test) that specifically contemplates a client presenting a malformed/unknown/expired/revoked token during that state; code fails closed on presented-but-bad credentials even then. Question for human: is the anonymous-mode admission meant to cover only credential-less requests (matching current code, doc needs narrowing), or literally every request regardless of what's presented (matching current doc/dossier wording, code has a gap to close)?",false
6,major,design-drift-doc-stale,.ok-planner/design/concepts/asset.md,23,"Invariant 3 names rimsky-aware template fields `producer`, `scope`, and `write_semantics` that do not exist in the claim-producer stanza, and omits `alias` and `intent` which do.","lib/foundation/spec/template.go:110-117 defines NodeClaimProducerRef with yaml fields `name`, `selector`, `intent`, `alias`, `lifetime`, `data` — there is no `producer`, `scope`, or `write_semantics` key (write_semantics is producer-side config, e.g. lib/services/claim_producers/postgres/server/opts.go:53, and realized_write_semantics lives on the handle row). The omitted `alias` field is load-bearing for the asset identity the doc's own invariant 1 describes. A template author following the doc would write a stanza that fails to parse.",CONFIRMED,minor,asset.md:23 lists rimsky-aware fields producer/scope/write_semantics; NodeClaimProducerRef (template.go:110-117) fields are name/selector/intent/alias/lifetime/data. Imprecise invariant field list; yaml.v3 ignores unknown keys so 'fails to parse' overstated.,concept-run-1,,,,defect,fix-doc,CONFIRMED,corroborated,"asset.md's rimsky-aware field list (producer/scope/write_semantics) matched neither the code nor the field vocabulary used consistently across sibling concept docs (claim-producer.md, claim-scope.md) and the dossier's own alias terminology. Corroborated across code + multiple design-corpus artifacts, so intent is known without relying on code alone. Fixed invariant 3 to list name/selector/intent/alias/lifetime.",true
7,major,design-drift-doc-stale,.ok-planner/design/concepts/attribute.md,29,"The doc says cascade-shape configuration is declared 'via per-edge wake-on-change and upstream-refresh flags', but the wake-on-change flag was removed from the subscription language; only force_upstream_refresh exists.","Doc line 29: ""declared on the receiver's subscriptions via per-edge wake-on-change and upstream-refresh flags."" Code: `code:lib/foundation/spec/subscription.go::SubscriptionEntry#8` has only `Node`, `Type`, `When`, `ForceUpstreamRefresh`, `ResolvesViaCallingNode` — no wake_on_change field; `rg 'wake_on_change|WakeOnChange' lib/` → zero hits. `decisions/_retired/wake-on-change-wait-set-only.md`: ""Retired with the removal of the `wake_on_change` field from the subscription language ... subscription declarations are exclusively wake declarations.""",CONFIRMED,major,attribute.md:29 names 'wake-on-change' as a current per-edge flag; subscription.go:8-20 has only ForceUpstreamRefresh; decisions/_retired/wake-on-change-wait-set-only.md confirms retired -> major (retired mechanism named current).,concept-run-1,,fix-doc,"Scrub all wake-on-change prose from node-subscription.md, attribute.md, cascade.md, and the structural-root-edge-injection decision; document the single force_upstream_refresh flag SubscriptionEntry actually carries.",defect,fix-doc,CONFIRMED,transcript,Dossier explicitly retires wake_on_change at transcript tier and forbids it appearing as current anywhere; doc line 29 named it as a live flag. Fixed doc to name only the upstream-refresh flag.,true
8,major,test-gap,.ok-planner/design/concepts/attribute.md,43,No scenario test proves invariant 12 (validate-twice): neither the dispatch-phase gate nor the commit-phase gate has coverage under test/scenarios.,"`rg -l 'PhaseDispatch|template_validation_failed|attributes_schema_failed' test/scenarios/` → no matches. CLAUDE.md states load-bearing safety properties are ""enforced by scenario tests under test/scenarios/ ... the scenario test is the proof."" The commit gate exists in code (`lib/runtime/runner_terminal.go:145`) but is unproven; the dispatch gate is both unimplemented and unproven, which is how the drift went unnoticed.",REFUTED,nit,"Dispatch gate IS implemented (attributes.Validate PhaseDispatch at instances_static_config_gate.go and breakpoint_resume.go); commit gate at runner_terminal.go:145. Both proven by validate_test.go:29,46 (PhaseDispatch+PhaseCommit) and runner_dispatch_test.go. Finder's 'dispatch gate unimplemented and unproven' is false; scenario-dir absence immaterial.",concept-run-1,,,,,,,,,
9,major,design-drift-doc-stale,.ok-planner/design/concepts/attribute.md,46,"Three passages say substitution resolves against 'the wait-set sender runs that contributed to this dispatch', but the code never consults the wait-set for attribute data — it reads each subscribed sender's most-recent settled run in the receiver's RunScope — and the sibling decision doc explicitly retires the wait-set-keyed model.","Doc lines 35 (""resolves only against the X-run that contributed to R's dispatch via this frame's wait-set""), 46 (""the substitution path looks up by run against the wait-set sender runs that contributed to this dispatch""), and 48 repeat the wait-set framing. Code: `code:lib/runtime/substitution_context.go::populateSubscribedSenderDeps#117` calls `GetMostRecentSettledRun(nodeID, rec.RunScopeID, math.MaxInt64)` per subscribed sender type — no WaitSet() call. `decisions/substitution-deps-from-persisted-senders.md` states: ""The wait-set (concept:wait-set) is not consulted for sender attribute data; it carries only wake/eligibility metadata"", and lists ""Read from drained wait-set rows"" as a retired alternative. A sender run that never inserted a wait-set row for this receiver still resolves if it is the most-recent settled run in scope, so the doc's stricter claim is false; frame isolation holds only via RunScope bounding.",CONFIRMED,major,"attribute.md:35/46/48 says substitution 'looks up by run against the wait-set sender runs'; substitution_context.go:117 calls GetMostRecentSettledRun in RunScope with no WaitSet call, and decisions/substitution-deps-from-persisted-senders.md retires the wait-set-keyed model. Retired mechanism named current -> major.",concept-run-1,,fix-doc,"Update attribute.md: substitution reads each subscribed sender's most-recent settled run in the receiver's RunScope, not the wait-set sender runs (the wait-set-keyed model is retired).",defect,fix-doc,CONFIRMED,transcript,"Dossier (transcript tier, twice) establishes the wait-set entry only pins sender-run identity at enqueue and carries no attribute data; doc's 'looks up against the wait-set sender runs' framing implied the wait-set itself is a data source. Rewrote all three passages to the pinned-sender-run-at-enqueue model.",true
10,major,design-drift-doc-stale,.ok-planner/design/concepts/attribute.md,47,"The 'substitution runs at exactly one moment per row, in the same transaction that persists the bag' invariant is contradicted by the code's two-phase resolution: claim./child. sources are deferred at the gate and filled at dispatch, and message-delivery (non-cascade) rows get no substitution at row creation at all.","Doc line 47. Code: `lib/runtime/gate_evaluator.go:223` calls `substituteAttributesSchemaWith(schema, rctx, carryForward, true)` — `deferClaimRefs=true` skips any source containing `claim.` or `child.` (`code:lib/runtime/runner_dispatch.go::sourceReferencesLateBound#594`); those are resolved later by `fillClaimRefs` at acquisition/dispatch (`lib/runtime/runner_dispatch.go:386`), outside the bag-persisting gate transaction, and their missing-source failures surface at dispatch rather than ""the sender's settle transaction"". For non-cascade rows, `code:lib/runtime/message_delivery.go::deliverNamedMessageInTx#161-177` persists the raw message payload as the bag with no substitution or schema-defaults pass in the row-creation transaction (defaults merge only at dispatch via `mergeSchemaDefaultsForDispatch`, `lib/runtime/runner_dispatch.go:390`).",CONFIRMED,major,"attribute.md:47 'substitution runs at exactly one moment per row, in the same tx that persists the bag' contradicted by two-phase resolution: gate_evaluator.go:223 substituteAttributesSchemaWith(...,true) skips claim./child. (sourceReferencesLateBound), resolved later at dispatch by fillClaimRefs (runner_dispatch.go:386) with defaults merged at dispatch — a second substitution moment outside the persist tx; non-cascade message rows get raw-payload copy (message_delivery.go:172) -> major.",concept-run-1,,fix-doc,attribute.md: replace the single-moment substitution invariant with the actual two-phase model (gate-deferred claim./child. sources filled at dispatch; no substitution for message-delivery rows at creation).,defect,fix-doc,CONFIRMED,transcript,"Dossier is unambiguous and transcript-tier: substitution is two rounds (pending->stale, then pre-dispatch for late-bound claim/child refs), and message-delivery rows get no substitution whatsoever. Doc's single-moment invariant contradicted both. Rewrote invariant 47 to the two-round model plus the message-delivery carve-out, and fixed a downstream inconsistency this created in the defaults-materialization note.",true
11,major,design-drift-doc-stale,.ok-planner/design/concepts/attribute.md,51,"The doc says a lenient-marked directive in whole-directive mode 'lifts to a null value' on missing source, but the persisted bag never contains null — the runtime substitutes a schema-typed empty value (0, false, """", [], {}).","Doc line 51: ""in whole-directive mode the directive lifts to a null value"". Code: `attributes.SubstituteValue` returns nil for a lenient miss (`lib/graph/attribute/substitution.go:155-157`), but the bag builder converts it — `code:lib/runtime/runner_dispatch.go::substituteAttributesSchemaWith#579-581`: `if val == nil { out[name] = emptyValueForSchemaProperty(prop) }`, where `emptyValueForSchemaType` yields `float64(0)` / `false` / `[]any{}` / `map[string]any{}` / `""""` (lines 689-701). The same conversion applies to an explicit `| null` fallback. `stories/lenient-marker.md` says ""missing source resolves to empty"", agreeing with the code; an executor author reading attribute.md would wrongly predicate on JSON null.",REFUTED,minor,attribute.md:51 describes the substitution-grammar layer where substitution.go:155-157 returns nil for a lenient whole-directive miss. The typed-empty conversion in runner_dispatch.go:579-581 is a downstream bag-builder step outside the invariant's scope. Finder conflated two layers -> refuted.,concept-run-1,,,,,,,,,
